anime_id,mean_rating,count,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
199,8.76313704779509,3787,Sen to Chihiro no Kamikakushi,8.83,"Adventure, Supernatural, Drama",Spirited Away,千と千尋の神隠し,Movie,1,"Jul 20, 2001",Unknown,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,2 hr. 5 min.,PG - Children,23.0,41,1245727,25610,14444,1124666,3124,1437,102056,324768.0,254426.0,182709.0,76025.0,22207.0,7695.0,2393.0,856.0,489.0,1174.0
205,8.499514091350827,2058,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",Samurai Champloo,サムライチャンプルー,TV,26,"May 20, 2004 to Mar 19, 2005",Spring 2004,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG","Funimation, Geneon Entertainment USA",Manglobe,Original,24 min. per ep.,R - 17+ (violence & profanity),105.0,86,892196,29414,59611,551621,45449,19921,215594,104898.0,146580.0,132652.0,62330.0,17685.0,6462.0,1984.0,768.0,348.0,932.0
223,7.946694003075346,1951,Dragon Ball,8.0,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Dragon Ball,ドラゴンボール,TV,153,"Feb 26, 1986 to Apr 12, 1989",Winter 1986,Fuji TV,Funimation,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,535.0,120,735546,13454,37544,600337,27310,23902,46453,88245.0,89656.0,134427.0,108758.0,39962.0,14806.0,3942.0,1392.0,834.0,1204.0
225,6.528703047484054,1411,Dragon Ball GT,6.48,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",Dragon Ball GT,ドラゴンボールGT,TV,64,"Feb 7, 1996 to Nov 19, 1997",Winter 1996,Fuji TV,Funimation,Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5974.0,262,472177,1878,9834,408494,7582,21120,25147,22680.0,23836.0,44045.0,74704.0,67689.0,42801.0,26843.0,11272.0,5903.0,4003.0
226,7.661654135338346,3458,Elfen Lied,7.56,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",Elfen Lied,エルフェンリート,TV,13,"Jul 25, 2004 to Oct 17, 2004",Summer 2004,"VAP, Genco",ADV Films,Arms,Manga,25 min. per ep.,R+ - Mild Nudity,1382.0,49,1187921,23830,36600,885356,27617,40191,198157,101509.0,127032.0,173008.0,153170.0,76952.0,36944.0,21729.0,11087.0,7416.0,5519.0
227,7.958246346555324,1916,FLCL,8.03,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",FLCL,フリクリ,OVA,6,"Apr 26, 2000 to Mar 16, 2001",Unknown,"Starchild Records, GANSIS","Funimation, Synch-Point","Gainax, Production I.G",Original,25 min. per ep.,PG-13 - Teens 13 or older,505.0,171,610114,23432,21496,409775,15250,13319,150274,73488.0,73911.0,82013.0,55189.0,25030.0,12152.0,6542.0,3043.0,2162.0,2112.0
232,8.235063663075417,1021,Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",Cardcaptor Sakura,カードキャプターさくら,TV,70,"Apr 7, 1998 to Mar 21, 2000",Spring 1998,"NHK, Kodansha, Sogo Vision, YTV","Nelvana, NIS America, Inc., Geneon Entertainment USA",Madhouse,Manga,25 min. per ep.,PG - Children,346.0,405,338021,12901,23012,214053,20936,14348,65672,34575.0,38128.0,48217.0,35300.0,13099.0,5113.0,1226.0,454.0,223.0,442.0
245,8.766623207301173,1534,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,TV,43,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,"Aniplex, Fuji TV","Discotek Media, Tokyopop",Studio Pierrot,Manga,25 min. per ep.,R - 17+ (violence & profanity),44.0,184,589324,20870,44940,334925,32815,18032,158612,86645.0,93002.0,70904.0,32510.0,9587.0,3720.0,1434.0,644.0,385.0,903.0
249,7.829290206648698,1113,InuYasha,7.85,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",InuYasha,犬夜叉,TV,167,"Oct 16, 2000 to Sep 13, 2004",Fall 2000,"Yomiuri Telecasting, Shogakukan",VIZ Media,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,740.0,187,588434,17186,58693,317986,54480,47273,110002,48201.0,51683.0,79233.0,71630.0,29876.0,14032.0,4881.0,1804.0,906.0,776.0
268,8.004940711462451,1012,Golden Boy,8.03,"Adventure, Comedy, Ecchi",Golden Boy,ゴールデンボーイ,OVA,6,"Oct 27, 1995 to Jun 28, 1996",Unknown,"KSS, Shueisha","ADV Films, Media Blasters, Discotek Media",APPP,Manga,29 min. per ep.,R+ - Mild Nudity,507.0,579,251683,3784,8418,176125,4379,3914,58847,25719.0,30250.0,40393.0,27244.0,11205.0,4635.0,1795.0,701.0,435.0,398.0
269,7.867251782775645,1823,Bleach,7.8,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Bleach,BLEACH - ブリーチ -,TV,366,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",VIZ Media,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,818.0,33,1286382,54386,207985,638922,130961,174710,133804,116063.0,136177.0,192980.0,174721.0,81327.0,42155.0,16961.0,6766.0,3102.0,2906.0
270,7.523386619301362,1689,Hellsing,7.5,"Action, Horror, Supernatural, Vampire, Seinen",Hellsing,Hellsing [ヘルシング],TV,13,"Oct 11, 2001 to Jan 17, 2002",Fall 2001,"Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1586.0,205,549632,5798,21198,378129,15518,16327,118460,32856.0,45861.0,75346.0,77857.0,36859.0,16240.0,7094.0,2617.0,1184.0,770.0
317,7.8469026548672565,1130,Final Fantasy VII: Advent Children,7.76,"Action, Super Power, Fantasy",Unknown,ファイナルファンタジーVII アドベントチルドレン,Movie,1,"Sep 14, 2005",Unknown,Unknown,Sony Pictures Entertainment,Square Enix,Game,1 hr. 41 min.,PG-13 - Teens 13 or older,890.0,782,191069,1202,1283,178810,456,460,10060,21459.0,24033.0,33054.0,29241.0,13517.0,6182.0,2560.0,952.0,527.0,329.0
339,7.997418244406196,1162,Serial Experiments Lain,8.03,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",Serial Experiments Lain,シリアルエクスペリメンツレイン,TV,13,"Jul 6, 1998 to Sep 28, 1998",Summer 1998,"TV Tokyo, Geneon Universal Entertainment, Genco, Pioneer LDC, TV Tokyo Music, Fujipacific Music","Funimation, Geneon Entertainment USA",Triangle Staff,Original,23 min. per ep.,R - 17+ (violence & profanity),509.0,255,480696,16764,30943,218721,23045,15267,192720,39531.0,41993.0,47711.0,31785.0,14563.0,7223.0,4016.0,1690.0,1083.0,1345.0
355,7.740993788819876,1610,Shakugan no Shana,7.51,"Action, Drama, Fantasy, Romance, School, Supernatural",Shakugan no Shana:Season I,灼眼のシャナ,TV,24,"Oct 6, 2005 to Mar 23, 2006",Fall 2005,"Geneon Universal Entertainment, ASCII Media Works, Toshiba Entertainment, Cosmic Ray, Showgate","Funimation, Geneon Entertainment USA",J.C.Staff,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1542.0,279,462389,5502,20116,288718,18461,20836,114258,21748.0,34808.0,62572.0,60971.0,27496.0,13579.0,5359.0,1959.0,977.0,746.0
356,7.486173059768064,2242,Fate/stay night,7.34,"Action, Supernatural, Magic, Romance, Fantasy",Fate/stay night,Fate/stay night,TV,24,"Jan 7, 2006 to Jun 17, 2006",Winter 2006,"Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes","Sentai Filmworks, Geneon Entertainment USA",Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),2152.0,119,730980,7011,29998,510563,19938,23686,146795,35378.0,57284.0,101538.0,107818.0,55337.0,26103.0,13081.0,5032.0,2350.0,1693.0
430,7.739807264640475,1349,Fullmetal Alchemist: The Conqueror of Shamballa,7.57,"Military, Comedy, Historical, Drama, Fantasy, Shounen",Fullmetal Alchemist:The Movie - Conqueror of Shamballa,劇場版 鋼の錬金術師 シャンバラを征く者,Movie,1,"Jul 23, 2005",Unknown,"Aniplex, Square Enix, Shochiku, Mainichi Broadcasting System",Funimation,Bones,Manga,1 hr. 45 min.,PG-13 - Teens 13 or older,1361.0,506,279946,704,2361,245283,1253,776,30273,19794.0,31112.0,47730.0,44941.0,20077.0,8777.0,4298.0,1555.0,812.0,490.0
431,8.56657018813314,2764,Howl no Ugoku Shiro,8.67,"Adventure, Drama, Fantasy, Romance",Howl's Moving Castle,ハウルの動く城,Movie,1,"Nov 20, 2004",Unknown,"d-rights, Tokuma Shoten",Walt Disney Studios,Studio Ghibli,Novel,1 hr. 59 min.,G - All Ages,51.0,98,847414,17845,8733,754791,2283,947,80660,186983.0,167309.0,137336.0,62317.0,18427.0,6427.0,2246.0,737.0,351.0,668.0
437,8.295967741935485,1240,Perfect Blue,8.48,"Dementia, Drama, Horror, Psychological",Perfect Blue,パーフェクトブルー,Movie,1,"Feb 28, 1998",Unknown,Rex Entertainment,"GKIDS, Manga Entertainment",Madhouse,Novel,1 hr. 20 min.,R+ - Mild Nudity,112.0,342,393287,9942,7418,256041,2456,1015,126357,50252.0,64305.0,54953.0,24495.0,8157.0,2979.0,1307.0,497.0,339.0,644.0
457,8.813856427378965,1198,Mushishi,8.69,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",Mushi-Shi,蟲師,TV,26,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,25 min. per ep.,PG-13 - Teens 13 or older,45.0,167,620736,23066,55482,235371,42786,20017,267080,65961.0,64493.0,51656.0,24255.0,8603.0,4064.0,1486.0,573.0,301.0,760.0
512,8.206281227694504,1401,Majo no Takkyuubin,8.24,"Adventure, Comedy, Drama, Magic, Romance, Fantasy",Kiki's Delivery Service,魔女の宅急便,Movie,1,"Jul 29, 1989",Unknown,Unknown,"Walt Disney Studios, GKIDS",Studio Ghibli,Novel,1 hr. 45 min.,G - All Ages,271.0,350,377814,3695,3931,323535,1498,512,48338,42609.0,62143.0,78325.0,44824.0,11925.0,3724.0,844.0,229.0,105.0,121.0
513,8.263846153846155,1300,Tenkuu no Shiro Laputa,8.31,"Adventure, Fantasy, Romance, Sci-Fi",Castle in the Sky,天空の城ラピュタ,Movie,1,"Aug 2, 1986",Unknown,Tokuma Shoten,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,2 hr. 5 min.,PG - Children,220.0,405,335428,3090,3702,279056,1516,633,50521,42814.0,54616.0,63546.0,35753.0,10658.0,3363.0,904.0,242.0,119.0,131.0
523,8.264159292035398,2260,Tonari no Totoro,8.31,"Adventure, Comedy, Supernatural",My Neighbor Totoro,となりのトトロ,Movie,1,"Apr 16, 1988",Unknown,Studio Fantasia,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,1 hr. 26 min.,G - All Ages,220.0,121,721786,6751,7968,620070,2444,1109,90195,107172.0,114886.0,129486.0,75924.0,25715.0,8966.0,2519.0,804.0,351.0,621.0
527,7.248290013679891,1462,Pokemon,7.34,"Action, Adventure, Comedy, Kids, Fantasy",Pokémon,ポケットモンスター,TV,276,"Apr 1, 1997 to Nov 14, 2002",Spring 1997,"TV Tokyo, TV Tokyo Music, Studio Jack","VIZ Media, 4Kids Entertainment",OLM,Game,24 min. per ep.,PG - Children,2144.0,277,464779,4940,30707,339007,28608,47875,18582,34911.0,33357.0,64105.0,85456.0,46215.0,23633.0,6723.0,2616.0,1256.0,1146.0
528,7.498109640831758,1058,Pokemon Movie 01: Mewtwo no Gyakushuu,7.63,"Action, Adventure, Comedy, Kids, Drama, Fantasy",Pokemon:The First Movie,ポケットモンスター ミュウツーの逆襲,Movie,1,"Jul 18, 1998",Unknown,"TV Tokyo, Shogakukan-Shueisha Productions, Imagica, Studio Jack","4Kids Entertainment, Warner Bros. Pictures",OLM,Game,1 hr. 25 min.,PG - Children,1184.0,761,195228,336,1061,190089,246,283,3549,17956.0,20476.0,34270.0,34228.0,15397.0,7053.0,2044.0,743.0,325.0,242.0
552,7.760372565622354,1181,Digimon Adventure,7.79,"Action, Adventure, Comedy, Fantasy, Kids",Digimon:Digital Monsters,デジモンアドベンチャー,TV,54,"Mar 7, 1999 to Mar 26, 2000",Spring 1999,"Yomiko Advertising, Fuji TV","Saban Entertainment, Flatiron Film Company",Toei Animation,Other,24 min. per ep.,PG - Children,839.0,419,325137,4907,8591,283580,7158,8276,17532,31514.0,34838.0,57073.0,53135.0,21819.0,9186.0,2219.0,782.0,381.0,348.0
572,8.338461538461539,1105,Kaze no Tani no Nausicaä,8.4,"Adventure, Fantasy",Nausicaä of the Valley of the Wind,風の谷のナウシカ,Movie,1,"Mar 11, 1984",Unknown,Unknown,"Walt Disney Studios, GKIDS",Topcraft,Manga,1 hr. 57 min.,PG-13 - Teens 13 or older,155.0,513,278500,3949,3082,224406,1530,786,48696,41375.0,47405.0,48056.0,25557.0,8027.0,2985.0,1002.0,316.0,161.0,397.0
578,8.48165137614679,1526,Hotaru no Haka,8.51,"Drama, Historical",Grave of the Fireflies,火垂るの墓,Movie,1,"Apr 16, 1988",Unknown,Unknown,"ADV Films, Central Park Media, Sentai Filmworks",Studio Ghibli,Novel,1 hr. 28 min.,PG-13 - Teens 13 or older,99.0,293,438214,5407,5927,328347,2713,1249,99978,79553.0,69811.0,61996.0,30066.0,11694.0,4975.0,2350.0,953.0,539.0,845.0
777,8.519656897784131,1399,Hellsing Ultimate,8.4,"Action, Military, Horror, Supernatural, Vampire, Seinen",Hellsing Ultimate,HELLSING OVA,OVA,10,"Feb 10, 2006 to Dec 26, 2012",Unknown,"Geneon Universal Entertainment, StudioRF Inc., Shounen Gahousha","Funimation, Geneon Entertainment USA","Madhouse, Satelight, Graphinica",Manga,50 min. per ep.,R - 17+ (violence & profanity),154.0,143,676023,18134,61371,406085,35477,17217,155873,84495.0,100315.0,94259.0,49044.0,16994.0,6719.0,3006.0,1217.0,611.0,886.0
790,8.106481481481481,1080,Ergo Proxy,7.92,"Psychological, Mystery, Sci-Fi",Ergo Proxy,エルゴプラクシー,TV,23,"Feb 25, 2006 to Aug 12, 2006",Winter 2006,"Geneon Universal Entertainment, WOWOW, Sakura Create","Funimation, Geneon Entertainment USA",Manglobe,Original,25 min. per ep.,R - 17+ (violence & profanity),651.0,249,478552,11039,28651,213453,26468,18804,191176,27077.0,42063.0,53997.0,37433.0,16180.0,7591.0,3611.0,1405.0,716.0,745.0
813,8.041205139565795,2257,Dragon Ball Z,8.16,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Dragon Ball Z,ドラゴンボールZ,TV,291,"Apr 26, 1989 to Jan 31, 1996",Spring 1989,Fuji TV,Funimation,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,348.0,88,888982,32032,32608,772421,19285,23682,40986,144729.0,128360.0,158845.0,115623.0,43658.0,18301.0,5619.0,2157.0,1143.0,1618.0
849,8.05521472392638,2771,Suzumiya Haruhi no Yuuutsu,7.88,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",The Melancholy of Haruhi Suzumiya,涼宮ハルヒの憂鬱,TV,14,"Apr 3, 2006 to Jul 3, 2006",Spring 2006,"Lantis, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Kyoto Animation,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,702.0,115,745062,15729,29640,490883,24161,20252,180126,52192.0,85959.0,122485.0,85769.0,32877.0,14030.0,5758.0,2118.0,1282.0,1436.0
853,8.361657597321054,2389,Ouran Koukou Host Club,8.2,"Comedy, Harem, Romance, School, Shoujo",Ouran High School Host Club,桜蘭高校ホスト部,TV,26,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older,305.0,102,827960,30919,35862,638636,26554,25175,101733,103425.0,124205.0,137427.0,90928.0,33091.0,14389.0,4927.0,1944.0,1089.0,1192.0
857,7.5213505461767625,1007,Air Gear,7.53,"Action, Comedy, Ecchi, Shounen, Sports",Air Gear,エア・ギア,TV,25,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"Marvelous, Kodansha","ADV Films, Funimation",Toei Animation,Manga,24 min. per ep.,R+ - Mild Nudity,1469.0,474,298135,3694,11170,203281,10629,15024,58031,16986.0,24462.0,40658.0,41421.0,20026.0,9739.0,3836.0,1451.0,733.0,541.0
889,8.111397627643115,1939,Black Lagoon,8.05,"Action, Seinen",Black Lagoon,BLACK LAGOON,TV,12,"Apr 9, 2006 to Jun 25, 2006",Spring 2006,"Geneon Universal Entertainment, Shogakukan","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),475.0,133,704436,13626,31875,435287,23002,14918,199354,42109.0,86299.0,122409.0,70596.0,22010.0,8027.0,2577.0,890.0,384.0,419.0
918,9.076237623762376,1010,Gintama,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Gintama,銀魂,TV,201,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,15.0,114,754607,48247,149543,230260,87145,39531,248128,108448.0,74869.0,52666.0,27675.0,11208.0,6423.0,2934.0,1299.0,850.0,2743.0
934,8.215593929879644,1911,Higurashi no Naku Koro ni,7.95,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",When They Cry,ひぐらしのなく頃に,TV,26,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"Geneon Universal Entertainment, Frontier Works, Sotsu, DAX Production","Sentai Filmworks, Geneon Entertainment USA",Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),610.0,156,638491,19393,39512,363708,33103,29836,172332,52217.0,69878.0,88023.0,58940.0,25202.0,11540.0,5973.0,2564.0,1671.0,1484.0
